date,plant,quantity,unit
2022-03-20,Lettuce,10,oz
2022-03-23,Lettuce,6,oz
2022-03-25,Lettuce,5,oz
2022-03-25,Cauliflower,3,oz
2022-03-25,Swiss Chard,23,oz
2022-04-04,Lettuce,5,oz
2022-04-06,Lettuce,6,oz
2022-04-10,Swiss Chard,8,oz
2022-04-12,Lettuce,6,oz
2022-04-13,Lettuce,7,oz
2022-04-13,Beet,8,oz
2022-04-16,Swiss Chard,25,oz
2022-04-18,Lettuce,10,oz
2022-04-20,Beet,8,oz
2022-04-20,Lettuce,8,oz
2022-04-20,Swiss Chard,15,oz
2022-04-28,Swiss Chard,11,oz
2022-05-12,Jalapeño,2,oz
2022-05-12,Banana Pepper,3,oz
2022-05-12,Cucumber,8,oz
2022-05-13,Potato,10,oz
2022-05-16,Bell Pepper,3,oz
2022-05-16,Banana Pepper,3,oz
2022-05-16,Potato,51,oz
2022-05-16,Green Bean (Bush),9,oz
2022-05-06,Potato,7,oz
2022-05-19,Green Bean (Bush),20,oz
2022-05-20,Cucumber,51,oz
2022-05-23,Cucumber,40,oz
2022-05-23,Swiss Chard,15,oz
2022-05-25,Tomato (Cherry),6,oz
2022-05-25,Tomato (Large),3,oz
2022-05-25,Green Bean (Bush),13,oz
2022-05-25,Strawberry,13,oz
2022-05-25,Potato,172,oz
2022-05-22,Bell Pepper,12,oz
2022-05-22,Banana Pepper,8,oz
2022-05-22,Cucumber,62.4,oz
2022-05-22,Strawberry,2,oz
2022-05-26,Tomato (Large),3,oz
2022-05-27,Tomato (Large),6,oz
2022-05-27,Bell Pepper,3,oz
2022-05-27,Banana Pepper,4,oz
2022-05-27,Jalapeño,3,oz
2022-05-27,Tomato (Cherry),3,oz
2022-05-27,Tomato (Large),2,oz
2022-05-29,Swiss Chard,38,oz
2022-05-29,Cayenne,2,oz
2022-05-29,Green Bean (Bush),21,oz
2022-05-29,Bell Pepper,22,oz
2022-05-29,Tomato (Cherry),10,oz
2022-05-29,Jalapeño,8,oz
2022-05-29,Tomato (Large),5,oz
