date,plant,quantity,unit
2023-12-26,Beet,4,oz
2023-12-26,Shishito Pepper,4,oz
2023-05-31,Cucumber,8,oz
2023-06-03,Cucumber,24,oz
2023-06-05,Tomato (Large),4,oz
2023-06-12,Cucumber,154,oz
2023-06-12,Tomato (Large),52,oz
2023-06-13,Tomato (Large),13,oz
2023-06-13,Cucumber,26,oz
2023-06-14,Tomato (Large),75,oz
2023-06-14,Onion,32,oz
2023-06-14,Tomato (Large),7,oz
2023-06-14,Tomato (Cherry),7,oz
2023-06-15,Tomato (Large),16,oz
2023-06-15,Cucumber,21,oz
2023-06-15,Green Bean (Bush),18,oz
2023-06-15,Shishito Pepper,12,oz
2023-06-16,Tomatillo,8,oz
2023-06-19,Tomato (Large),164,oz
2023-06-19,Cucumber,90,oz
2023-06-19,Bell Pepper,9,oz
2023-06-19,Shishito Pepper,4,oz
2023-06-19,Green Bean (Bush),6,oz
2023-06-21,Cucumber,62,oz
2023-06-21,Tomato (Large),105,oz
2023-06-21,Tomato (Cherry),168,oz
2023-06-24,Tomatillo,196,oz
2023-06-25,Bell Pepper,10,oz
2023-06-26,Tomatillo,31,oz
2023-06-26,Tomato (Large),143,oz
2023-06-26,Tomato (Cherry),21,oz
2023-06-26,Cucumber,44,oz
2023-06-26,Shishito Pepper,5,oz
2023-06-27,Tomato (Large),91,oz
2023-06-27,Tomato (Cherry),8,oz
2023-06-30,Cucumber,20,oz
2023-06-30,Cayenne,3,oz
2023-06-30,Bell Pepper,4,oz
2023-06-30,Tomato (Cherry),12,oz
2023-06-30,Tomato (Large),124,oz
2023-07-02,Tomato (Large),89,oz
2023-07-02,Tomato (Cherry),4,oz
2023-07-02,Bell Pepper,4,oz
2023-07-17,Tomato (Large),224,oz
2023-07-18,Tomato (Large),87,oz
2023-07-19,Tomato (Large),25,oz
2023-07-20,Tomato (Large),160,oz
2023-07-20,Tomato (Cherry),36,oz
2023-07-25,Tomato (Cherry),19,oz
2023-07-25,Tomato (Large),80,oz
2023-08-01,Tomato (Large),21,oz
2023-08-01,Watermelon,128,oz
2023-08-07,Watermelon,103,oz
