date,plant,quantity,unit
2020-07-01,Tomato (Large),19,oz
2020-07-01,Tomato (Large),16,oz
2020-07-01,Tomato (Large),65,oz
2020-07-01,Tomato (Large),84,oz
2020-07-01,Tomato (Large),100,oz
2020-07-01,Tomato (Large),35,oz
2020-07-01,Tomato (Large),20,oz
2020-07-01,Tomato (Large),58,oz
2020-07-01,Tomato (Large),69,oz
2020-07-01,Tomato (Large),48,oz
2020-07-01,Tomato (Large),6,oz
2020-07-01,Tomato (Large),40,oz
2020-07-01,Tomato (Large),6,oz
2020-07-01,Tomato (Large),50,oz
2020-07-01,Cucumber,85,oz
2020-07-01,Cucumber,106,oz
2020-07-01,Cucumber,114,oz
2020-07-01,Cucumber,56,oz
2020-07-01,Cucumber,88,oz
2020-07-01,Cucumber,58,oz
2020-07-01,Cucumber,128,oz
2020-07-01,Cucumber,68,oz
2020-07-01,Cucumber,26,oz
2020-07-01,Pumpkin,53,oz
2020-07-01,Pumpkin,22,oz
2020-07-01,Pumpkin,38,oz
2020-07-01,Shishito Pepper,9,oz
2020-07-01,Shishito Pepper,16,oz
2020-07-01,Shishito Pepper,8,oz
2020-07-01,Shishito Pepper,6,oz
2020-07-01,Shishito Pepper,9,oz
2020-07-01,Shishito Pepper,20,oz
2020-07-01,Shishito Pepper,7,oz
2020-07-01,Bell Pepper,22,oz
2020-07-01,Bell Pepper,7,oz
2020-07-01,Green Bean (Bush),10,oz
2020-07-01,Green Bean (Bush),32,oz
2020-07-01,Jalapeño,4,oz
2020-07-01,Jalapeño,12,oz
2020-07-01,Zucchini,21,oz
2020-07-01,Zucchini,50,oz
2020-07-01,Yellow Squash,12,oz
2020-07-01,Yellow Squash,5,oz
2020-07-01,Yellow Squash,7,oz
2020-07-01,Yellow Squash,9,oz
2020-07-01,Banana Pepper,4,oz
2020-06-24,Tomato (Large),61,oz
2020-06-25,Tomato (Large),86,oz
2020-06-26,Tomato (Large),22,oz
2020-06-27,Green Bean (Bush),88,oz
2020-06-28,Cucumber,92,oz
2020-06-29,Cucumber,68,oz
2020-06-30,Onion,9,oz
2020-07-01,Cayenne,5,oz
2020-06-30,Green Bean (Bush),8,oz
2020-06-28,Tomato (Large),324,oz
2020-07-01,Bell Pepper,18,oz
2020-07-01,Tomato (Large),113,oz
2020-07-01,Cucumber,75,oz
2020-07-02,Green Bean (Bush),6,oz
2020-07-02,Shishito Pepper,6,oz
2020-07-04,Tomato (Large),100,oz
2020-07-04,Shishito Pepper,8,oz
2020-07-04,Green Bean (Bush),8,oz
2020-07-05,Cucumber,55,oz
2020-07-05,Cayenne,5,oz
2020-07-09,Pumpkin,96,oz
2020-07-09,Watermelon,96,oz
2020-07-10,Onion,4,oz
2020-07-13,Pumpkin,69,oz
2020-07-13,Pumpkin,104,oz
2020-07-12,Watermelon,480,oz
2020-07-13,Shishito Pepper,6,oz
2020-07-17,Onion,36,oz
2020-07-16,Shishito Pepper,6,oz
2020-07-15,Shishito Pepper,4,oz
2020-07-16,Bell Pepper,20,oz
2020-07-17,Banana Pepper,16,oz
2020-07-18,Watermelon,84,oz
2020-07-18,Watermelon,54,oz
2020-07-18,Watermelon,72,oz
